receive_osal_time_us,estimated_measurement_osal_time_us,sequence_number,estimated_period_us,time_estimate_ready,time_discontinuity_detected,angle_deg,distance_m,signal_strength,measurement_valid
11702077,11700073,3215,1990.627421798014,1,0,-38.38999938964844,0.449999988079071,100,1
11704081,11702063,3216,1990.627421798014,1,0,-38.84000015258789,0.4600000083446503,100,1
11706004,11704054,3217,1990.627421798014,1,0,-38.84000015258789,0.4399999976158142,100,1
11708018,11706045,3218,1990.627421798014,1,0,-39.29999923706055,0.4699999988079071,100,1
11710015,11708035,3219,1990.627421798014,1,0,-39.75,0.4799999892711639,100,1
11711980,11710026,3220,1990.627421798014,1,0,-39.75,0.4799999892711639,100,1
11713994,11712017,3221,1990.627421798014,1,0,-40.18999862670898,0.4699999988079071,100,1
11715948,11714007,3222,1990.627421798014,1,0,-40.63999938964844,0.4600000083446503,100,1
11717955,11715998,3223,1990.627421798014,1,0,-40.63999938964844,0.4699999988079071,100,1
11719981,11717988,3224,1990.627421798014,1,0,-41.09999847412109,0.4600000083446503,100,1
11721930,11719979,3225,1990.627421798014,1,0,-41.09999847412109,0.4699999988079071,100,1
11723950,11721970,3226,1990.627421798014,1,0,-41.54999923706055,0.4799999892711639,100,1
11725936,11723960,3227,1990.627421798014,1,0,-41.9900016784668,0.4799999892711639,100,1
11727911,11725951,3228,1990.627421798014,1,0,-41.9900016784668,0.4900000095367432,100,1
11729913,11727942,3229,1990.627421798014,1,0,-42.43999862670898,0.4900000095367432,100,1
11731917,11729932,3230,1990.627421798014,1,0,-42.43999862670898,0.4900000095367432,100,1
11733891,11731923,3231,1990.627421798014,1,0,-42.90000152587891,0.5,100,1
11735920,11733913,3232,1990.627421798014,1,0,-42.90000152587891,0.5,100,1
11737922,11735904,3233,1990.627421798014,1,0,-43.34999847412109,0.5,100,1
11739909,11737895,3234,1990.627421798014,1,0,-45.75,0.5,100,1
11741896,11739885,3235,1990.627421798014,1,0,-46.20000076293945,0.4799999892711639,100,1
11743882,11741876,3236,1990.627421798014,1,0,-45.75,0.5,100,1
11745841,11743867,3237,1990.627421798014,1,0,-45.75,0.5099999904632568,100,1
11747822,11745857,3238,1990.627421798014,1,0,-45.29999923706055,0.5099999904632568,100,1
11749809,11747848,3239,1990.627421798014,1,0,-44.84999847412109,0.5099999904632568,100,1
11751823,11749838,3240,1990.627421798014,1,0,-44.84999847412109,0.5,100,1
11753791,11751829,3241,1990.627421798014,1,0,-44.40000152587891,0.5,100,1
11755784,11753820,3242,1990.627421798014,1,0,-44.40000152587891,0.5,100,1
11757788,11755810,3243,1990.627421798014,1,0,-43.95000076293945,0.5,100,1
11759775,11757801,3244,1990.627421798014,1,0,-43.95000076293945,0.5,100,1
11761767,11759792,3245,1990.627421798014,1,0,-43.5,0.4699999988079071,100,1
11763757,11761782,3246,1990.627421798014,1,0,-43.04999923706055,0.4799999892711639,100,1
11765785,11763773,3247,1990.627421798014,1,0,-43.04999923706055,0.4799999892711639,100,1
